rule,depth,sex,fideid,peak_rating,age_first_at_peak,age_last_at_peak,months_in_top_n,age_at_window_start,peak_in_final_dataset_month,peak_in_own_last_active_month
union_100,100,M,2016192,2816,28,38,127,28,0,0
union_100,100,M,24125890,2687,26,26,81,18,0,0
union_100,100,M,2905540,2718,32,32,112,29,0,0
union_100,100,M,618438,2662,43,43,24,42,0,0
union_100,100,M,4118987,2707,40,40,101,38,0,0
union_100,100,M,4657101,2651,25,25,4,18,0,0
union_100,100,M,14107090,2687,36,36,64,29,0,0
union_100,100,M,4101588,2817,41,41,58,40,0,0
union_100,100,M,2285525,2703,25,25,93,20,0,0
union_100,100,M,12401110,2662,25,25,7,25,0,0
union_100,100,M,3800024,2699,49,49,24,48,0,0
union_100,100,M,409561,2709,32,32,88,28,0,0
union_100,100,M,1503707,2705,26,26,19,25,0,0
union_100,100,M,4262875,2656,25,25,9,15,0,0
union_100,100,M,358878,2677,24,24,32,14,0,0
union_100,100,M,46616543,2794,18,18,48,9,0,0
union_100,100,M,3805662,2667,26,27,9,16,0,0
union_100,100,M,316385,2676,27,27,52,27,0,0
union_100,100,M,1126881,2670,25,25,56,21,0,0
union_100,100,M,608742,2712,34,34,36,34,0,0
union_100,100,M,13502956,2671,27,27,13,26,0,0
union_100,100,M,44599790,2687,15,15,9,4,1,1
union_100,100,M,35093487,2681,20,20,30,10,0,0
union_100,100,M,410608,2712,25,25,127,25,0,0
union_100,100,M,12401137,2741,33,33,126,24,0,0
union_100,100,M,10601457,2712,31,31,118,27,0,0
union_100,100,M,4142578,2654,31,31,2,31,0,0
union_100,100,M,4113403,2679,40,41,23,39,0,0
union_100,100,M,14109182,2717,29,29,116,29,0,0
fixed_100,100,M,1503014,2882,29,29,130,25,0,0
fixed_100,100,M,2020009,2842,28,28,130,23,0,0
fixed_100,100,M,5202213,2822,24,24,130,22,0,0
fixed_100,100,M,13401319,2820,33,33,130,30,0,0
fixed_100,100,M,623539,2819,26,26,130,25,0,0
fixed_100,100,M,4101588,2817,41,41,58,40,0,0
fixed_100,100,M,8603677,2816,26,26,126,23,0,0
fixed_100,100,M,5000017,2816,46,46,128,46,0,0
fixed_100,100,M,2900084,2816,40,40,119,40,0,0
fixed_100,100,M,2016192,2816,28,38,127,28,0,0
fixed_100,100,M,13300474,2809,35,35,130,33,0,0
fixed_100,100,M,12573981,2804,18,19,86,12,0,0
fixed_100,100,M,35009192,2801,21,22,50,12,0,0
fixed_100,100,M,24116068,2798,21,22,130,21,0,0
fixed_100,100,M,4168119,2795,33,33,130,25,0,0
fixed_100,100,M,46616543,2794,18,18,48,9,0,0
fixed_100,100,M,4126025,2788,34,34,130,32,0,0
fixed_100,100,M,25059530,2785,20,20,45,10,0,0
fixed_100,100,M,14109603,2785,26,27,104,25,0,0
fixed_100,100,M,14204118,2783,20,20,52,11,0,0
fixed_100,100,M,12940690,2776,21,22,53,11,0,0
fixed_100,100,M,738590,2776,26,26,129,19,0,0
fixed_100,100,M,5007003,2770,30,30,130,29,0,0
fixed_100,100,M,4102142,2768,42,42,125,39,0,0
fixed_100,100,M,13400924,2767,32,32,129,28,0,0
fixed_100,100,M,14102951,2765,33,33,130,32,0,0
fixed_100,100,M,8603820,2765,24,24,130,21,0,0
fixed_100,100,M,8603405,2763,25,25,130,16,0,0
fixed_100,100,M,8602883,2763,31,32,130,26,0,0
fixed_100,100,M,3503240,2763,36,36,113,32,0,0
fixed_100,100,M,24101605,2761,21,21,127,17,0,0
fixed_100,100,M,400041,2761,46,46,130,44,0,0
fixed_100,100,M,1170546,2760,23,24,126,17,0,0
fixed_100,100,M,4122356,2759,32,32,90,32,0,0
fixed_100,100,M,8604436,2758,27,27,109,26,0,0
fixed_100,100,M,4147235,2758,28,28,112,28,0,0
fixed_100,100,M,14100010,2752,48,48,98,46,0,0
fixed_100,100,M,4152956,2751,32,32,130,28,0,0
fixed_100,100,M,2805677,2751,47,47,130,47,0,0
fixed_100,100,M,1118358,2750,30,31,130,28,0,0
fixed_100,100,M,5072786,2749,26,26,32,16,0,0
fixed_100,100,M,309095,2749,33,33,130,30,0,0
fixed_100,100,M,5029465,2747,30,30,120,21,0,0
fixed_100,100,M,14205483,2745,21,21,44,10,1,1
fixed_100,100,M,4158814,2743,26,29,111,25,0,0
fixed_100,100,M,12539929,2742,23,23,91,15,0,0
fixed_100,100,M,12401137,2741,33,33,126,24,0,0
fixed_100,100,M,24130737,2739,30,30,129,20,0,0
fixed_100,100,M,4168003,2738,26,26,110,24,0,0
fixed_100,100,M,2093596,2738,22,22,48,12,0,0
fixed_100,100,M,8601429,2737,29,29,100,28,0,0
fixed_100,100,M,4650891,2736,33,33,92,30,0,0
fixed_100,100,M,1039784,2736,27,27,75,16,1,1
fixed_100,100,M,4162722,2732,31,31,125,30,0,0
fixed_100,100,M,8601445,2731,34,34,130,30,0,0
fixed_100,100,M,2004887,2731,28,28,122,24,0,0
fixed_100,100,M,605506,2728,34,34,114,32,0,0
fixed_100,100,M,25092340,2723,22,22,56,11,1,1
fixed_100,100,M,24175439,2723,20,20,76,13,0,0
fixed_100,100,M,4120787,2722,37,37,126,35,0,0
fixed_100,100,M,2205530,2721,38,38,130,33,0,0
fixed_100,100,M,24126055,2720,25,26,120,19,0,0
fixed_100,100,M,2056437,2719,23,23,33,12,0,0
fixed_100,100,M,12521213,2718,23,23,48,14,0,0
fixed_100,100,M,2905540,2718,32,32,112,29,0,0
fixed_100,100,M,24133795,2717,24,24,74,15,0,0
fixed_100,100,M,14109182,2717,29,29,116,29,0,0
fixed_100,100,M,14103320,2715,33,33,79,32,0,0
fixed_100,100,M,4135539,2715,22,22,81,18,0,0
fixed_100,100,M,2209390,2715,43,43,96,43,0,0
fixed_100,100,M,13601520,2714,34,34,35,32,0,0
fixed_100,100,M,703303,2714,36,36,110,36,0,0
fixed_100,100,M,14105730,2713,30,31,111,30,0,0
fixed_100,100,M,8601160,2713,32,32,114,32,0,0
fixed_100,100,M,10601457,2712,31,31,118,27,0,0
fixed_100,100,M,4189302,2712,29,30,107,22,0,0
fixed_100,100,M,2047640,2712,19,20,101,15,0,0
fixed_100,100,M,608742,2712,34,34,36,34,0,0
fixed_100,100,M,410608,2712,25,25,127,25,0,0
fixed_100,100,M,13300881,2711,39,39,112,32,0,0
fixed_100,100,M,4116992,2711,38,38,90,38,0,0
fixed_100,100,M,14102560,2710,35,35,29,35,0,0
fixed_100,100,M,2806851,2710,27,27,60,26,0,0
fixed_100,100,M,1226380,2710,21,21,54,14,0,0
fixed_100,100,M,13401653,2709,29,30,102,27,0,0
fixed_100,100,M,409561,2709,32,32,88,28,0,0
