fideid,sex,peak_rating,age_first_at_peak,age_last_at_peak,in_top25,in_top100
10601457,M,2712,31,31,0,1
11600098,M,2686,58,58,0,1
11601876,F,2358,29,30,0,1
12400149,F,2474,36,36,1,1
12401102,F,2410,30,31,0,1
12401110,M,2662,25,25,0,1
12401137,M,2741,33,33,1,1
12401226,F,2395,36,37,0,1
12401838,F,2425,25,25,0,1
12500330,F,2405,18,18,0,1
12502014,F,2372,28,28,0,1
12505951,F,2376,31,31,0,1
12512214,F,2494,23,24,1,1
12521213,M,2718,23,23,1,1
12528897,F,2373,22,22,0,1
12539929,M,2742,23,23,1,1
12573981,M,2804,18,19,1,1
12576468,M,2640,19,19,0,1
12801259,F,2542,34,35,1,1
12802859,F,2470,29,29,1,1
12900460,F,2369,23,23,0,1
12909572,M,2659,25,25,0,1
12923044,M,2671,21,21,0,1
12940690,M,2776,21,22,1,1
13300032,M,2675,45,46,0,1
13300210,F,2474,37,37,0,1
13300474,M,2809,35,35,1,1
13300580,M,2673,34,34,0,1
13300601,F,2451,33,33,0,1
13300881,M,2711,39,39,0,1
13301004,M,2666,26,26,0,1
13301527,M,2660,31,31,0,1
13301918,F,2407,37,37,0,1
13302485,M,2671,27,27,0,1
13302507,M,2650,28,28,0,1
13302531,M,2650,31,31,0,1
13306553,M,2708,23,23,0,1
13306677,M,2635,24,24,0,1
13306766,M,2669,23,23,0,1
13308130,F,2405,19,19,0,1
13310828,F,2381,19,19,0,1
13400924,M,2767,32,32,1,1
13401319,M,2820,33,33,1,1
13401378,M,2668,36,36,0,1
13401521,F,2367,35,35,0,1
13401653,M,2709,29,30,0,1
13402129,M,2694,24,24,0,1
13402951,F,2364,23,23,0,1
13402960,M,2679,28,28,0,1
13403052,F,2450,30,30,1,1
13403508,F,2401,26,26,0,1
13403729,F,2483,22,22,1,1
13406396,F,2404,23,23,0,1
13413015,F,2412,21,21,0,1
13413937,M,2653,21,21,0,1
13502956,M,2671,27,27,0,1
13504398,M,2703,25,25,0,1
13505211,F,2408,20,20,0,1
13509926,F,2453,19,20,0,1
13600079,F,2462,60,61,1,1
13600168,F,2386,51,51,0,1
13600320,F,2432,40,40,0,1
13600656,F,2374,39,39,0,1
13601377,F,2423,38,39,0,1
13601431,F,2379,33,33,0,1
13601458,F,2497,32,32,1,1
13601520,M,2714,34,34,0,1
13601903,F,2573,28,28,1,1
13602055,F,2368,31,32,0,1
13602446,F,2456,28,28,0,1
13602640,F,2521,27,27,1,1
13602888,F,2390,25,25,0,1
13602993,F,2528,31,31,1,1
13603434,F,2372,27,27,0,1
13603620,F,2374,25,26,0,1
13604040,F,2466,30,30,1,1
13700090,F,2519,24,24,1,1
13702661,M,2658,32,32,0,1
13703544,F,2507,21,21,1,1
13704788,F,2394,27,27,0,1
13708694,F,2516,22,22,1,1
13712799,F,2379,20,20,0,1
13712802,F,2427,17,17,0,1
13719688,F,2383,20,20,0,1
13729390,F,2443,19,19,0,1
13730096,F,2344,16,16,0,1
13900048,M,2659,45,45,0,1
13900145,F,2461,40,40,0,1
13903063,F,2453,27,27,0,1
14100010,M,2752,48,48,1,1
14100126,F,2442,23,23,0,1
14101025,M,2685,42,42,0,1
14101181,F,2450,43,43,0,1
14101513,F,2489,37,37,1,1
14101572,F,2478,37,37,1,1
14101602,F,2478,27,27,1,1
14101610,F,2397,38,38,0,1
14102145,F,2397,44,44,0,1
14102463,F,2420,42,44,0,1
14102536,M,2664,34,34,0,1
14102560,M,2710,35,35,0,1
14102951,M,2765,33,33,1,1
14103320,M,2715,33,33,0,1
14104652,F,2396,37,37,0,1
14105730,M,2713,30,31,0,1
14107090,M,2687,36,36,0,1
14107201,M,2665,31,31,0,1
14109182,M,2717,29,29,0,1
14109336,F,2563,33,33,1,1
14109530,M,2690,35,35,0,1
14109603,M,2785,26,27,1,1
14110911,F,2472,32,32,1,1
14111330,F,2587,27,27,1,1
14112035,F,2367,34,34,0,1
14112906,M,2699,27,27,0,1
14113147,M,2685,28,28,0,1
14113414,F,2345,36,36,0,1
14114550,F,2563,24,27,1,1
14116731,M,2665,25,25,0,1
14117258,F,2388,28,28,0,1
14117479,F,2359,32,32,0,1
14117908,M,2702,27,27,0,1
14118084,M,2692,26,26,0,1
14123622,F,2437,22,22,0,1
14126869,F,2377,19,19,0,1
14129574,M,2694,21,21,0,1
14159899,F,2353,20,20,0,1
14199220,F,2354,18,18,0,1
14200244,M,2704,36,37,0,1
14203626,F,2446,20,20,0,1
14203987,M,2691,23,24,0,1
14204118,M,2783,20,20,1,1
14204223,M,2681,22,22,0,1
14204487,F,2373,23,23,0,1
14205483,M,2745,21,21,1,1
14210363,F,2358,20,20,0,1
14210444,F,2423,17,17,0,1
14506688,M,2643,36,36,0,1
14508150,M,2703,29,29,0,1
14603853,M,2662,30,30,0,1
14609215,F,2407,22,22,0,1
14900866,F,2391,38,38,0,1
24101605,M,2761,21,21,1,1
24107581,M,2696,26,26,0,1
24112798,M,2653,22,22,0,1
24116068,M,2798,21,22,1,1
24125890,M,2687,26,26,0,1
24126055,M,2720,25,26,1,1
24130737,M,2739,30,30,1,1
24131423,M,2657,28,28,0,1
24133795,M,2717,24,24,1,1
24153648,F,2364,16,16,0,1
24157570,F,2468,24,24,1,1
24171760,F,2516,20,21,1,1
24173606,F,2370,18,18,0,1
24173770,F,2393,23,23,0,1
24174041,F,2411,19,19,0,1
24175439,M,2723,20,20,1,1
24603295,M,2684,25,25,0,1
24606812,F,2449,29,29,0,1
24633569,F,2370,21,21,0,1
24651516,M,2698,29,29,0,1
24670057,F,2376,22,22,0,1
25049615,F,2355,22,22,0,1
25050389,F,2435,21,21,0,1
25059530,M,2785,20,20,1,1
25060783,M,2657,20,20,0,1
25073230,F,2381,20,20,0,1
25092340,M,2723,22,22,1,1
25978985,F,2353,14,14,0,1
29941482,F,2347,14,14,0,1
30920019,M,2652,16,16,0,1
30929849,F,2375,16,16,0,1
30941822,F,2415,17,17,0,1
30951011,F,2390,17,17,0,1
30952530,F,2381,17,17,0,1
30953499,M,2635,16,16,0,1
32084030,F,2435,17,17,0,1
34127035,F,2477,21,21,1,1
34189030,M,2632,19,19,0,1
35006916,F,2510,21,21,1,1
35009192,M,2801,21,22,1,1
35028561,M,2643,19,19,0,1
35028600,M,2633,20,20,0,1
35061887,F,2435,15,15,0,1
35093487,M,2681,20,20,0,1
42529271,F,2342,15,16,0,1
44155573,M,2678,19,19,0,1
44507356,M,2652,17,17,0,1
44599790,M,2687,15,15,0,1
45075204,F,2444,17,18,0,1
45100446,F,2374,18,18,0,1
46616543,M,2794,18,18,1,1
54113075,F,2350,20,20,0,1
54180058,F,2440,17,17,0,1
