N,obs_gap,exp_gap,pct,pct_lo,pct_hi
2004,381.3215014055586,244.54676633385384,64.13138662059433,61.596737016225546,66.6627523644392
2093,383.456582789192,246.72563083052478,64.3425206149516,61.84423536167418,66.82430056415267
2186,385.6130668533456,248.8804455894051,64.54149690006695,62.091052274962365,66.97937586181298
2283,387.7531062770877,251.09873486918877,64.75737545471888,62.34447523389661,67.14361755493101
2384,389.87999675566834,253.3393351585762,64.97879790363802,62.61216555560863,67.32244611736593
2490,392.0562606558992,255.6390613898609,65.20468796039218,62.888653387171885,67.4859921373281
2601,394.2677261159961,257.91731218234963,65.41679551687898,63.144464416044244,67.64792561900157
2716,396.4955651879618,260.1617137342289,65.61528969709843,63.39871132312792,67.79064537993584
2837,398.7286069695392,262.4333699487927,65.81754239891828,63.651295225575446,67.94473395893486
2963,400.95099421241,264.6819118636863,66.01353174933567,63.893752753162424,68.09945601556481
3094,403.18165083049576,266.93996492536917,66.20836151037915,64.1313224963163,68.25343435820879
3232,405.44874047672647,269.2252511914212,66.40179739487321,64.36515700698837,68.39561991465064
3375,407.7191982042648,271.4230101063624,66.57106442419256,64.58884324139757,68.51785838627158
3525,409.9808462128881,273.6313930388035,66.74248213457189,64.80591377051236,68.64297981130359
3682,412.23869785383977,275.8676387380099,66.91939407295028,65.02955717308421,68.76883336713101
3845,414.50376825096623,278.04974742784066,67.0801495004726,65.2245400848077,68.88081032806093
4016,416.818330016873,280.178119879788,67.21828185157939,65.41183049282209,68.99074556416464
4194,419.1303442490853,282.23896611819146,67.33918695957252,65.57848981961995,69.065271650131
4380,421.44663275778043,284.25591594764,67.44766569555473,65.73541799971892,69.13222188045674
4575,423.76822595194744,286.25664404782015,67.55028492397629,65.87963369911462,69.20254235568807
4778,426.11415096519204,288.2243720505073,67.64017843520327,66.01473884496293,69.25586267355408
4990,428.5059403944979,290.20459931768914,67.72475523921942,66.14213177786228,69.29827279910845
5212,430.9678650957003,292.13329232670503,67.78540025526827,66.24713865483042,69.32211935534396
5443,433.502721143351,294.0351798376762,67.82775874212896,66.32783160479376,69.3251189792014
5685,436.0621084637048,295.9189931352805,67.86166176598924,66.39582027015449,69.3270162830218
5937,438.64657907548235,297.77654735291094,67.88530027534297,66.45449811587262,69.32090603951224
6201,441.25065326590493,299.65690445415794,67.91081264951234,66.51393457537044,69.32014011189868
6476,443.848704847157,301.54018222295224,67.93760552411437,66.5725241346133,69.31083447064726
6764,446.4909973211463,303.4575715388677,67.96499220802892,66.62454842996806,69.30785927401199
7064,449.15779007822084,305.3497875357082,67.98274332112364,66.6712147650674,69.30514182602433
7378,451.86255026937465,307.29743654060485,68.00683888439342,66.72170418051225,69.29179020524086
7705,454.5712775666177,309.2415803253758,68.0292828840371,66.7651537739916,69.28538768059981
8047,457.3171077979637,311.24647531387666,68.05922411531148,66.8122515395991,69.279359170296
8405,460.06084266648804,313.24794578744536,68.08837369680867,66.86834034372448,69.28733070119127
8778,462.78421266747523,315.2724626320663,68.12515509438938,66.93176452459271,69.3112459141806
9168,465.4940841505304,317.3641366568662,68.17790976570987,67.00486713510698,69.33590947249458
9575,468.2005596321294,319.48504733271534,68.2367931349203,67.08917784990615,69.36780063033378
10000,470.89852999999994,321.66734104798286,68.30926846341671,67.19320079842235,69.4215462401467
